編號,學校,科系,招生名額,分發人數,比例,備註
1,國立臺灣大學,中國文學系(001012),21,21,100%,
1,國立臺灣大學,外國語文學系(001022),47,47,100%,
1,國立臺灣大學,歷史學系(001032),23,18,78%,
1,國立臺灣大學,哲學系(001042),20,17,85%,
1,國立臺灣大學,人類學系(001052),12,6,50%,
1,國立臺灣大學,圖書資訊學系(001062),23,15,65%,
1,國立臺灣大學,日本語文學系(001072),24,24,100%,
1,國立臺灣大學,戲劇學系(001082),14,0,0%,
1,國立臺灣大學,數學系(001092),13,13,100%,
1,國立臺灣大學,物理學系(001102),27,21,78%,
1,國立臺灣大學,化學系(001112),27,27,100%,
1,國立臺灣大學,地質科學系(001122),22,22,100%,
1,國立臺灣大學,心理學系(001132),20,12,60%,
1,國立臺灣大學,地理環境資源學系(001142),13,13,100%,
1,國立臺灣大學,大氣科學系(001152),18,17,94%,
1,國立臺灣大學,政治學系政治理論組(001162),19,11,58%,
1,國立臺灣大學,政治學系國際關係組(001172),20,20,100%,
1,國立臺灣大學,政治學系公共行政組(001182),20,15,75%,
1,國立臺灣大學,經濟學系A組(001192),26,26,100%,
1,國立臺灣大學,經濟學系B組(001202),20,20,100%,
1,國立臺灣大學,經濟學系C組(001212),14,14,100%,
1,國立臺灣大學,社會學系(001222),19,18,95%,
1,國立臺灣大學,社會工作學系(001232),17,17,100%,
1,國立臺灣大學,醫學系(001242),51,51,100%,
1,國立臺灣大學,醫學系(公費生)(001252),12,11,92%,
1,國立臺灣大學,牙醫學系(001262),11,11,100%,
1,國立臺灣大學,藥學系(001272),21,15,71%,
1,國立臺灣大學,醫學檢驗暨生物技術學系(001282),19,15,79%,
1,國立臺灣大學,護理學系(001292),27,25,93%,
1,國立臺灣大學,物理治療學系(001302),20,11,55%,
1,國立臺灣大學,職能治療學系(001312),21,15,71%,
1,國立臺灣大學,土木工程學系(001322),57,54,95%,
1,國立臺灣大學,機械工程學系(001332),84,84,100%,
1,國立臺灣大學,化學工程學系(001342),71,71,100%,
1,國立臺灣大學,工程科學及海洋工程學系(001352),26,26,100%,
1,國立臺灣大學,材料科學與工程學系(001362),31,17,55%,
1,國立臺灣大學,醫學工程學系(001372),12,7,58%,
1,國立臺灣大學,農藝學系(001382),14,14,100%,
1,國立臺灣大學,生物環境系統工程學系(001392),22,16,73%,
1,國立臺灣大學,農業化學系(001402),25,25,100%,
1,國立臺灣大學,森林環境暨資源學系(001412),39,39,100%,
1,國立臺灣大學,動物科學技術學系(001422),17,9,53%,
1,國立臺灣大學,農業經濟學系(001432),20,16,80%,
1,國立臺灣大學,園藝暨景觀學系(001442),24,24,100%,
1,國立臺灣大學,獸醫學系(001452),29,29,100%,
1,國立臺灣大學,生物產業傳播暨發展學系(001462),20,19,95%,
1,國立臺灣大學,生物機電工程學系(001472),21,20,95%,
1,國立臺灣大學,昆蟲學系(001482),17,17,100%,
1,國立臺灣大學,植物病理與微生物學系(001492),13,9,69%,
1,國立臺灣大學,工商管理學系企業管理組(001502),32,16,50%,
1,國立臺灣大學,工商管理學系科技管理組(001512),26,24,92%,
1,國立臺灣大學,會計學系(001522),42,42,100%,
1,國立臺灣大學,財務金融學系(001532),50,50,100%,
1,國立臺灣大學,國際企業學系(001542),45,45,100%,
1,國立臺灣大學,資訊管理學系(001552),31,31,100%,
1,國立臺灣大學,資訊管理學系(資安組)(001562),5,5,100%,
1,國立臺灣大學,公共衛生學系(001572),24,17,71%,
1,國立臺灣大學,電機工程學系(001582),92,92,100%,
1,國立臺灣大學,資訊工程學系(001592),51,51,100%,
1,國立臺灣大學,資訊工程學系(APCS組)(001602),4,4,100%,
1,國立臺灣大學,資訊工程學系(資安組)(001612),5,5,100%,
1,國立臺灣大學,法律學系法學組(001622),17,12,71%,
1,國立臺灣大學,法律學系司法組(001632),17,17,100%,
1,國立臺灣大學,法律學系財經法學組(001642),17,17,100%,
1,國立臺灣大學,生命科學系(001652),26,21,81%,
1,國立臺灣大學,生化科技學系(001662),29,23,79%,
1,國立臺灣大學,國際體育運動事務學士學位學程(001672),5,5,100%,
1,國立臺灣大學,希望組甲組(文社法)(001682),12,12,100%,
1,國立臺灣大學,希望組乙組(地經生傳)(001692),3,0,0%,
1,國立臺灣大學,希望組丙組(理)(001702),6,5,83%,
1,國立臺灣大學,希望組丁組(生醫)(001712),8,5,63%,
1,國立臺灣大學,希望組戊組(工電資)(001722),13,11,85%,
1,國立臺灣大學,希望組己組(商管)(001732),4,3,75%,
1,國立臺灣大學,希望組庚組(生農)(001742),9,8,89%,
1,國立臺灣大學,希望組辛組(醫牙)(001752),2,1,50%,
2,國立臺灣師範大學,教育學系(002012),26,19,73%,
2,國立臺灣師範大學,教育心理與輔導學系(002022),16,16,100%,
2,國立臺灣師範大學,社會教育學系(002032),23,11,48%,
2,國立臺灣師範大學,社會教育學系(青年儲蓄帳戶組)(002042),1,0,0%,
2,國立臺灣師範大學,健康促進與衛生教育學系(002052),18,10,56%,
